"Meddržavne selitve po: SELITVE, LETO, STAROSTNE SKUPINE, DRŽAVLJANSTVO"
", SPOL"

" ";" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"1995"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";415;273;142
" ";" ";" ";"Državljani Republike Slovenije";157;75;82
" ";" ";" ";"Tuji državljani";258;198;60
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";230;126;104
" ";" ";" ";"Državljani Republike Slovenije";124;62;62
" ";" ";" ";"Tuji državljani";106;64;42
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";191;114;77
" ";" ";" ";"Državljani Republike Slovenije";105;56;49
" ";" ";" ";"Tuji državljani";86;58;28
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";129;89;40
" ";" ";" ";"Državljani Republike Slovenije";61;44;17
" ";" ";" ";"Tuji državljani";68;45;23
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";69;43;26
" ";" ";" ";"Državljani Republike Slovenije";46;30;16
" ";" ";" ";"Tuji državljani";23;13;10
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";52;27;25
" ";" ";" ";"Državljani Republike Slovenije";26;16;10
" ";" ";" ";"Tuji državljani";26;11;15
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";35;10;25
" ";" ";" ";"Državljani Republike Slovenije";15;3;12
" ";" ";" ";"Tuji državljani";20;7;13
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";13;6;7
" ";" ";" ";"Državljani Republike Slovenije";3;2;1
" ";" ";" ";"Tuji državljani";10;4;6
" ";"2005"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";8605;6659;1946
" ";" ";" ";"Državljani Republike Slovenije";2077;982;1095
" ";" ";" ";"Tuji državljani";6528;5677;851
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";142;81;61
" ";" ";" ";"Državljani Republike Slovenije";104;58;46
" ";" ";" ";"Tuji državljani";38;23;15
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";122;58;64
" ";" ";" ";"Državljani Republike Slovenije";88;37;51
" ";" ";" ";"Tuji državljani";34;21;13
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";122;53;69
" ";" ";" ";"Državljani Republike Slovenije";67;25;42
" ";" ";" ";"Tuji državljani";55;28;27
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";430;298;132
" ";" ";" ";"Državljani Republike Slovenije";98;41;57
" ";" ";" ";"Tuji državljani";332;257;75
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1508;1274;234
" ";" ";" ";"Državljani Republike Slovenije";147;64;83
" ";" ";" ";"Tuji državljani";1361;1210;151
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1560;1257;303
" ";" ";" ";"Državljani Republike Slovenije";303;127;176
" ";" ";" ";"Tuji državljani";1257;1130;127
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1225;968;257
" ";" ";" ";"Državljani Republike Slovenije";259;106;153
" ";" ";" ";"Tuji državljani";966;862;104
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";944;757;187
" ";" ";" ";"Državljani Republike Slovenije";195;95;100
" ";" ";" ";"Tuji državljani";749;662;87
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";860;707;153
" ";" ";" ";"Državljani Republike Slovenije";146;72;74
" ";" ";" ";"Tuji državljani";714;635;79
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";641;540;101
" ";" ";" ";"Državljani Republike Slovenije";145;90;55
" ";" ";" ";"Tuji državljani";496;450;46
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";393;270;123
" ";" ";" ";"Državljani Republike Slovenije";140;68;72
" ";" ";" ";"Tuji državljani";253;202;51
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";264;170;94
" ";" ";" ";"Državljani Republike Slovenije";141;73;68
" ";" ";" ";"Tuji državljani";123;97;26
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";164;102;62
" ";" ";" ";"Državljani Republike Slovenije";110;63;47
" ";" ";" ";"Tuji državljani";54;39;15
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";94;59;35
" ";" ";" ";"Državljani Republike Slovenije";59;32;27
" ";" ";" ";"Tuji državljani";35;27;8
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";64;32;32
" ";" ";" ";"Državljani Republike Slovenije";41;19;22
" ";" ";" ";"Tuji državljani";23;13;10
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";39;18;21
" ";" ";" ";"Državljani Republike Slovenije";22;9;13
" ";" ";" ";"Tuji državljani";17;9;8
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";21;9;12
" ";" ";" ";"Državljani Republike Slovenije";8;2;6
" ";" ";" ";"Tuji državljani";13;7;6
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";12;6;6
" ";" ";" ";"Državljani Republike Slovenije";4;1;3
" ";" ";" ";"Tuji državljani";8;5;3
" ";"2006"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";13749;10725;3024
" ";" ";" ";"Državljani Republike Slovenije";2703;1315;1388
" ";" ";" ";"Tuji državljani";11046;9410;1636
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";262;136;126
" ";" ";" ";"Državljani Republike Slovenije";155;80;75
" ";" ";" ";"Tuji državljani";107;56;51
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";208;111;97
" ";" ";" ";"Državljani Republike Slovenije";111;55;56
" ";" ";" ";"Tuji državljani";97;56;41
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";193;95;98
" ";" ";" ";"Državljani Republike Slovenije";104;57;47
" ";" ";" ";"Tuji državljani";89;38;51
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";527;374;153
" ";" ";" ";"Državljani Republike Slovenije";118;55;63
" ";" ";" ";"Tuji državljani";409;319;90
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";2663;2256;407
" ";" ";" ";"Državljani Republike Slovenije";206;97;109
" ";" ";" ";"Tuji državljani";2457;2159;298
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";2440;2001;439
" ";" ";" ";"Državljani Republike Slovenije";397;180;217
" ";" ";" ";"Tuji državljani";2043;1821;222
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1914;1517;397
" ";" ";" ";"Državljani Republike Slovenije";348;159;189
" ";" ";" ";"Tuji državljani";1566;1358;208
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1488;1212;276
" ";" ";" ";"Državljani Republike Slovenije";264;123;141
" ";" ";" ";"Tuji državljani";1224;1089;135
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1246;1000;246
" ";" ";" ";"Državljani Republike Slovenije";219;119;100
" ";" ";" ";"Tuji državljani";1027;881;146
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";985;815;170
" ";" ";" ";"Državljani Republike Slovenije";144;79;65
" ";" ";" ";"Tuji državljani";841;736;105
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";740;553;187
" ";" ";" ";"Državljani Republike Slovenije";162;75;87
" ";" ";" ";"Tuji državljani";578;478;100
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";492;322;170
" ";" ";" ";"Državljani Republike Slovenije";191;86;105
" ";" ";" ";"Tuji državljani";301;236;65
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";266;167;99
" ";" ";" ";"Državljani Republike Slovenije";118;59;59
" ";" ";" ";"Tuji državljani";148;108;40
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";165;93;72
" ";" ";" ";"Državljani Republike Slovenije";87;50;37
" ";" ";" ";"Tuji državljani";78;43;35
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";69;36;33
" ";" ";" ";"Državljani Republike Slovenije";34;19;15
" ";" ";" ";"Tuji državljani";35;17;18
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";46;15;31
" ";" ";" ";"Državljani Republike Slovenije";23;8;15
" ";" ";" ";"Tuji državljani";23;7;16
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";23;13;10
" ";" ";" ";"Državljani Republike Slovenije";13;9;4
" ";" ";" ";"Tuji državljani";10;4;6
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";22;9;13
" ";" ";" ";"Državljani Republike Slovenije";9;5;4
" ";" ";" ";"Tuji državljani";13;4;9
" ";"2007"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";14943;10696;4247
" ";" ";" ";"Državljani Republike Slovenije";3178;1523;1655
" ";" ";" ";"Tuji državljani";11765;9173;2592
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";348;181;167
" ";" ";" ";"Državljani Republike Slovenije";156;76;80
" ";" ";" ";"Tuji državljani";192;105;87
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";280;138;142
" ";" ";" ";"Državljani Republike Slovenije";124;62;62
" ";" ";" ";"Tuji državljani";156;76;80
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";303;149;154
" ";" ";" ";"Državljani Republike Slovenije";159;85;74
" ";" ";" ";"Tuji državljani";144;64;80
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";576;350;226
" ";" ";" ";"Državljani Republike Slovenije";201;102;99
" ";" ";" ";"Tuji državljani";375;248;127
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";2499;1899;600
" ";" ";" ";"Državljani Republike Slovenije";262;121;141
" ";" ";" ";"Tuji državljani";2237;1778;459
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";2537;1858;679
" ";" ";" ";"Državljani Republike Slovenije";443;188;255
" ";" ";" ";"Tuji državljani";2094;1670;424
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1986;1447;539
" ";" ";" ";"Državljani Republike Slovenije";397;179;218
" ";" ";" ";"Tuji državljani";1589;1268;321
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1600;1193;407
" ";" ";" ";"Državljani Republike Slovenije";274;119;155
" ";" ";" ";"Tuji državljani";1326;1074;252
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1345;1015;330
" ";" ";" ";"Državljani Republike Slovenije";242;128;114
" ";" ";" ";"Tuji državljani";1103;887;216
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";1143;924;219
" ";" ";" ";"Državljani Republike Slovenije";171;108;63
" ";" ";" ";"Tuji državljani";972;816;156
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";838;643;195
" ";" ";" ";"Državljani Republike Slovenije";170;84;86
" ";" ";" ";"Tuji državljani";668;559;109
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";594;399;195
" ";" ";" ";"Državljani Republike Slovenije";206;96;110
" ";" ";" ";"Tuji državljani";388;303;85
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";352;221;131
" ";" ";" ";"Državljani Republike Slovenije";145;68;77
" ";" ";" ";"Tuji državljani";207;153;54
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";257;146;111
" ";" ";" ";"Državljani Republike Slovenije";120;58;62
" ";" ";" ";"Tuji državljani";137;88;49
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";129;64;65
" ";" ";" ";"Državljani Republike Slovenije";62;31;31
" ";" ";" ";"Tuji državljani";67;33;34
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";85;39;46
" ";" ";" ";"Državljani Republike Slovenije";28;10;18
" ";" ";" ";"Tuji državljani";57;29;28
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";54;24;30
" ";" ";" ";"Državljani Republike Slovenije";13;4;9
" ";" ";" ";"Tuji državljani";41;20;21
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";17;6;11
" ";" ";" ";"Državljani Republike Slovenije";5;4;1
" ";" ";" ";"Tuji državljani";12;2;10
" ";"2008"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";12109;8190;3919
" ";" ";" ";"Državljani Republike Slovenije";4766;2316;2450
" ";" ";" ";"Tuji državljani";7343;5874;1469
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";202;108;94
" ";" ";" ";"Državljani Republike Slovenije";119;58;61
" ";" ";" ";"Tuji državljani";83;50;33
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";285;139;146
" ";" ";" ";"Državljani Republike Slovenije";159;80;79
" ";" ";" ";"Tuji državljani";126;59;67
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";304;168;136
" ";" ";" ";"Državljani Republike Slovenije";214;123;91
" ";" ";" ";"Tuji državljani";90;45;45
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";386;201;185
" ";" ";" ";"Državljani Republike Slovenije";206;96;110
" ";" ";" ";"Tuji državljani";180;105;75
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1215;881;334
" ";" ";" ";"Državljani Republike Slovenije";239;111;128
" ";" ";" ";"Tuji državljani";976;770;206
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1659;1148;511
" ";" ";" ";"Državljani Republike Slovenije";453;184;269
" ";" ";" ";"Tuji državljani";1206;964;242
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1509;1000;509
" ";" ";" ";"Državljani Republike Slovenije";515;240;275
" ";" ";" ";"Tuji državljani";994;760;234
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1486;1078;408
" ";" ";" ";"Državljani Republike Slovenije";494;230;264
" ";" ";" ";"Tuji državljani";992;848;144
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1241;984;257
" ";" ";" ";"Državljani Republike Slovenije";376;213;163
" ";" ";" ";"Tuji državljani";865;771;94
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";1049;825;224
" ";" ";" ";"Državljani Republike Slovenije";304;165;139
" ";" ";" ";"Tuji državljani";745;660;85
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";773;567;206
" ";" ";" ";"Državljani Republike Slovenije";308;152;156
" ";" ";" ";"Tuji državljani";465;415;50
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";713;399;314
" ";" ";" ";"Državljani Republike Slovenije";464;201;263
" ";" ";" ";"Tuji državljani";249;198;51
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";527;307;220
" ";" ";" ";"Državljani Republike Slovenije";374;193;181
" ";" ";" ";"Tuji državljani";153;114;39
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";346;195;151
" ";" ";" ";"Državljani Republike Slovenije";264;142;122
" ";" ";" ";"Tuji državljani";82;53;29
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";219;104;115
" ";" ";" ";"Državljani Republike Slovenije";154;73;81
" ";" ";" ";"Tuji državljani";65;31;34
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";114;57;57
" ";" ";" ";"Državljani Republike Slovenije";77;40;37
" ";" ";" ";"Tuji državljani";37;17;20
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";48;15;33
" ";" ";" ";"Državljani Republike Slovenije";30;7;23
" ";" ";" ";"Tuji državljani";18;8;10
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";33;14;19
" ";" ";" ";"Državljani Republike Slovenije";16;8;8
" ";" ";" ";"Tuji državljani";17;6;11
" ";"2009"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";18788;14816;3972
" ";" ";" ";"Državljani Republike Slovenije";3717;1984;1733
" ";" ";" ";"Tuji državljani";15071;12832;2239
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";310;169;141
" ";" ";" ";"Državljani Republike Slovenije";160;85;75
" ";" ";" ";"Tuji državljani";150;84;66
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";366;195;171
" ";" ";" ";"Državljani Republike Slovenije";160;82;78
" ";" ";" ";"Tuji državljani";206;113;93
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";324;173;151
" ";" ";" ";"Državljani Republike Slovenije";139;63;76
" ";" ";" ";"Tuji državljani";185;110;75
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";465;294;171
" ";" ";" ";"Državljani Republike Slovenije";111;58;53
" ";" ";" ";"Tuji državljani";354;236;118
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";2867;2358;509
" ";" ";" ";"Državljani Republike Slovenije";268;126;142
" ";" ";" ";"Tuji državljani";2599;2232;367
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";3394;2779;615
" ";" ";" ";"Državljani Republike Slovenije";449;220;229
" ";" ";" ";"Tuji državljani";2945;2559;386
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";2708;2168;540
" ";" ";" ";"Državljani Republike Slovenije";492;277;215
" ";" ";" ";"Tuji državljani";2216;1891;325
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";2174;1791;383
" ";" ";" ";"Državljani Republike Slovenije";353;189;164
" ";" ";" ";"Tuji državljani";1821;1602;219
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1937;1654;283
" ";" ";" ";"Državljani Republike Slovenije";308;190;118
" ";" ";" ";"Tuji državljani";1629;1464;165
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";1537;1330;207
" ";" ";" ";"Državljani Republike Slovenije";221;130;91
" ";" ";" ";"Tuji državljani";1316;1200;116
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";1036;861;175
" ";" ";" ";"Državljani Republike Slovenije";198;119;79
" ";" ";" ";"Tuji državljani";838;742;96
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";597;443;154
" ";" ";" ";"Državljani Republike Slovenije";217;116;101
" ";" ";" ";"Tuji državljani";380;327;53
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";374;226;148
" ";" ";" ";"Državljani Republike Slovenije";201;104;97
" ";" ";" ";"Tuji državljani";173;122;51
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";250;160;90
" ";" ";" ";"Državljani Republike Slovenije";135;79;56
" ";" ";" ";"Tuji državljani";115;81;34
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";180;98;82
" ";" ";" ";"Državljani Republike Slovenije";123;71;52
" ";" ";" ";"Tuji državljani";57;27;30
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";115;54;61
" ";" ";" ";"Državljani Republike Slovenije";83;38;45
" ";" ";" ";"Tuji državljani";32;16;16
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";79;29;50
" ";" ";" ";"Državljani Republike Slovenije";54;20;34
" ";" ";" ";"Tuji državljani";25;9;16
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";75;34;41
" ";" ";" ";"Državljani Republike Slovenije";45;17;28
" ";" ";" ";"Tuji državljani";30;17;13
" ";"2010"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";15937;11586;4351
" ";" ";" ";"Državljani Republike Slovenije";3905;2064;1841
" ";" ";" ";"Tuji državljani";12032;9522;2510
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";553;278;275
" ";" ";" ";"Državljani Republike Slovenije";341;178;163
" ";" ";" ";"Tuji državljani";212;100;112
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";345;185;160
" ";" ";" ";"Državljani Republike Slovenije";166;85;81
" ";" ";" ";"Tuji državljani";179;100;79
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";288;175;113
" ";" ";" ";"Državljani Republike Slovenije";126;80;46
" ";" ";" ";"Tuji državljani";162;95;67
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";404;227;177
" ";" ";" ";"Državljani Republike Slovenije";117;59;58
" ";" ";" ";"Tuji državljani";287;168;119
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";2037;1549;488
" ";" ";" ";"Državljani Republike Slovenije";197;110;87
" ";" ";" ";"Tuji državljani";1840;1439;401
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";2663;2029;634
" ";" ";" ";"Državljani Republike Slovenije";413;187;226
" ";" ";" ";"Tuji državljani";2250;1842;408
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";2186;1636;550
" ";" ";" ";"Državljani Republike Slovenije";493;252;241
" ";" ";" ";"Tuji državljani";1693;1384;309
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1800;1382;418
" ";" ";" ";"Državljani Republike Slovenije";416;228;188
" ";" ";" ";"Tuji državljani";1384;1154;230
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1534;1229;305
" ";" ";" ";"Državljani Republike Slovenije";291;167;124
" ";" ";" ";"Tuji državljani";1243;1062;181
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";1222;967;255
" ";" ";" ";"Državljani Republike Slovenije";261;158;103
" ";" ";" ";"Tuji državljani";961;809;152
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";955;730;225
" ";" ";" ";"Državljani Republike Slovenije";216;121;95
" ";" ";" ";"Tuji državljani";739;609;130
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";651;442;209
" ";" ";" ";"Državljani Republike Slovenije";225;121;104
" ";" ";" ";"Tuji državljani";426;321;105
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";509;353;156
" ";" ";" ";"Državljani Republike Slovenije";224;127;97
" ";" ";" ";"Tuji državljani";285;226;59
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";298;183;115
" ";" ";" ";"Državljani Republike Slovenije";133;66;67
" ";" ";" ";"Tuji državljani";165;117;48
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";184;100;84
" ";" ";" ";"Državljani Republike Slovenije";96;48;48
" ";" ";" ";"Tuji državljani";88;52;36
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";124;56;68
" ";" ";" ";"Državljani Republike Slovenije";77;37;40
" ";" ";" ";"Tuji državljani";47;19;28
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";89;35;54
" ";" ";" ";"Državljani Republike Slovenije";51;22;29
" ";" ";" ";"Tuji državljani";38;13;25
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";95;30;65
" ";" ";" ";"Državljani Republike Slovenije";62;18;44
" ";" ";" ";"Tuji državljani";33;12;21
" ";"2011"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";12024;8151;3873
" ";" ";" ";"Državljani Republike Slovenije";4679;2510;2169
" ";" ";" ";"Tuji državljani";7345;5641;1704
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";452;227;225
" ";" ";" ";"Državljani Republike Slovenije";323;170;153
" ";" ";" ";"Tuji državljani";129;57;72
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";319;182;137
" ";" ";" ";"Državljani Republike Slovenije";197;111;86
" ";" ";" ";"Tuji državljani";122;71;51
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";247;126;121
" ";" ";" ";"Državljani Republike Slovenije";154;73;81
" ";" ";" ";"Tuji državljani";93;53;40
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";306;148;158
" ";" ";" ";"Državljani Republike Slovenije";150;77;73
" ";" ";" ";"Tuji državljani";156;71;85
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1223;837;386
" ";" ";" ";"Državljani Republike Slovenije";268;144;124
" ";" ";" ";"Tuji državljani";955;693;262
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1691;1159;532
" ";" ";" ";"Državljani Republike Slovenije";457;213;244
" ";" ";" ";"Tuji državljani";1234;946;288
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1629;1107;522
" ";" ";" ";"Državljani Republike Slovenije";591;287;304
" ";" ";" ";"Tuji državljani";1038;820;218
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1305;906;399
" ";" ";" ";"Državljani Republike Slovenije";494;264;230
" ";" ";" ";"Tuji državljani";811;642;169
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1132;863;269
" ";" ";" ";"Državljani Republike Slovenije";366;225;141
" ";" ";" ";"Tuji državljani";766;638;128
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";969;747;222
" ";" ";" ";"Državljani Republike Slovenije";322;198;124
" ";" ";" ";"Tuji državljani";647;549;98
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";781;578;203
" ";" ";" ";"Državljani Republike Slovenije";283;173;110
" ";" ";" ";"Tuji državljani";498;405;93
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";626;458;168
" ";" ";" ";"Državljani Republike Slovenije";282;168;114
" ";" ";" ";"Tuji državljani";344;290;54
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";562;378;184
" ";" ";" ";"Državljani Republike Slovenije";304;157;147
" ";" ";" ";"Tuji državljani";258;221;37
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";319;218;101
" ";" ";" ";"Državljani Republike Slovenije";178;112;66
" ";" ";" ";"Tuji državljani";141;106;35
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";194;100;94
" ";" ";" ";"Državljani Republike Slovenije";128;62;66
" ";" ";" ";"Tuji državljani";66;38;28
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";116;57;59
" ";" ";" ";"Državljani Republike Slovenije";81;36;45
" ";" ";" ";"Tuji državljani";35;21;14
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";78;34;44
" ";" ";" ";"Državljani Republike Slovenije";53;26;27
" ";" ";" ";"Tuji državljani";25;8;17
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";75;26;49
" ";" ";" ";"Državljani Republike Slovenije";48;14;34
" ";" ";" ";"Tuji državljani";27;12;15
" ";"2012"
" ";" ";"Starostne skupine - SKUPAJ"
